Year,State,FIPS Code,County Name,Enrolled,Consumers with CSRs,Consumers with APTC,Age 0-17,Age 18-25,Age 26-34,Age 35-44,Age 45-54,Age 55-64,Age 65+,Hispanic,American Indian / Alaska Native Non-Hispanic,Asian Non-Hispanic,Native Hawaiian / Pacific Islander Non-Hispanic,Black / African American Non-Hispanic,White Non-Hispanic,Multiracial Non-Hispanic,Non-Hispanic,Unknown Hispanic,Catastrophic,Bronze,Silver ,Gold,Platinum,100% to 150% of FPL,Greater than 150% to 200% of FPL,Greater than 200% to 250% of FPL ,Greater than 250% to 300% of FPL ,Greater than 300% to 400% of FPL 
2024,AL,1001,Autauga County,3216,0,0,143,362,594,690,703,701,23,62,0,180,0,441,1458,54,2450,704,29,554,2493,140,0,1489,681,342,194,239
2024,AL,1003,Baldwin County,22871,14058,21830,1044,2443,3749,4663,4914,5941,117,795,0,394,0,1002,11531,268,16259,5817,96,6025,15824,926,0,10762,4122,2516,1466,1978
2024,AL,1005,Barbour County,2221,1553,2159,0,206,357,534,551,531,0,0,0,28,0,219,446,0,0,0,0,543,1643,0,0,1576,280,158,66,68
2024,AL,1007,Bibb County,1703,1219,1658,0,127,303,399,447,362,0,16,0,0,0,92,451,0,831,856,0,389,1269,0,0,1151,238,145,41,61
2024,AL,1009,Blount County,4828,3418,4711,99,479,765,1097,1233,1138,17,140,0,51,0,30,1983,24,2703,1985,14,974,3698,142,0,2941,822,397,225,227
2024,AL,1011,Bullock County,1313,975,1287,26,127,247,308,304,286,15,0,0,0,0,230,79,0,0,0,0,300,1005,0,0,1010,155,79,31,19
2024,AL,1013,Butler County,1087,832,1040,0,133,178,218,255,270,0,0,0,18,0,230,468,14,0,0,0,136,897,0,0,593,220,103,47,68
2024,AL,1015,Calhoun County,8113,5917,7763,220,810,1483,1801,1895,1851,53,143,0,226,0,521,3138,80,5063,2907,47,1488,6380,198,0,4980,1333,717,317,335
2024,AL,1017,Chambers County,4841,3454,4763,242,529,898,1141,1050,961,20,85,0,38,0,370,677,0,1814,2942,0,1234,3556,0,0,3659,591,294,123,74
2024,AL,1019,Cherokee County,2263,1611,2191,0,211,330,441,547,686,0,13,0,17,0,21,1019,18,1378,872,0,468,1724,0,0,1385,331,223,91,111
2024,AL,1021,Chilton County,3472,2488,3348,0,313,592,788,852,826,0,106,0,25,0,168,1393,18,2088,1278,18,693,2662,99,0,2105,589,329,124,151
2024,AL,1023,Choctaw County,1154,888,1131,0,119,179,214,275,324,0,0,0,0,0,145,299,0,0,0,0,178,944,0,0,790,142,84,39,51
2024,AL,1025,Clarke County,2036,1555,1954,0,208,379,433,484,490,0,0,0,26,0,478,477,0,0,0,0,321,1649,0,0,1292,342,159,86,79
2024,AL,1027,Clay County,1049,788,1021,0,113,145,234,279,250,0,0,0,0,0,34,400,0,0,0,0,164,842,0,0,689,171,77,42,38
2024,AL,1029,Cleburne County,1393,909,1363,0,101,199,298,369,375,0,14,0,0,0,0,530,0,790,589,0,391,968,0,0,870,213,128,72,56
2024,AL,1031,Coffee County,4267,2838,4133,110,405,723,1040,1028,937,24,116,0,122,0,232,1064,50,2140,2011,23,1144,2994,106,0,2827,658,327,155,142
2024,AL,1033,Colbert County,4916,3297,4769,125,429,832,1152,1195,1164,19,61,0,105,0,258,1768,46,2865,1990,19,1215,3550,132,0,3094,753,439,207,189
2024,AL,1035,Conecuh County,1367,1074,1347,0,141,224,298,345,327,0,0,0,14,0,137,277,0,0,0,0,220,1115,0,0,990,174,85,58,41
2024,AL,1037,Coosa County,1405,1042,1390,0,128,242,329,354,307,0,0,0,0,0,117,296,0,0,0,0,305,1086,0,0,989,206,104,32,31
2024,AL,1039,Covington County,3147,2354,3055,82,261,478,666,800,847,13,31,0,37,0,112,1161,18,1805,1311,0,537,2502,0,0,2018,472,263,121,130
2024,AL,1041,Crenshaw County,777,558,749,0,78,129,160,183,207,0,0,0,15,0,98,373,0,0,0,0,120,630,0,0,423,152,67,53,51
2024,AL,1043,Cullman County,7024,4690,6796,231,619,1231,1582,1655,1675,31,128,12,120,0,29,3139,52,4262,2634,23,1631,5127,243,0,4026,1207,735,336,382
2024,AL,1045,Dale County,3632,2725,3506,114,403,672,787,856,788,12,103,0,74,0,297,1126,36,2090,1439,24,626,2887,95,0,2346,585,272,111,120
2024,AL,1047,Dallas County,3959,3298,3884,61,494,695,919,889,886,15,13,0,38,0,1132,385,14,2153,1793,0,506,3406,0,0,3048,428,201,97,78
2024,AL,1049,DeKalb County,5177,3699,5006,138,500,839,957,1316,1411,16,170,41,77,0,36,2608,86,3460,1547,21,969,4042,145,0,2979,963,439,235,278
2024,AL,1051,Elmore County,4386,3034,4169,139,492,844,907,933,1045,26,88,0,107,0,667,2238,37,3341,957,33,755,3423,175,0,2026,924,536,265,325
2024,AL,1053,Escambia County,2779,1979,2670,52,280,481,620,637,697,12,31,155,31,0,338,726,24,1683,1065,15,760,1953,51,0,1736,469,255,105,100
2024,AL,1055,Etowah County,8812,6129,8525,229,881,1547,1969,2121,2019,46,187,0,258,0,534,3534,80,5585,3040,33,1910,6638,231,0,5463,1404,752,419,400
2024,AL,1057,Fayette County,974,713,953,0,83,153,224,226,257,0,0,0,0,0,30,405,0,0,0,0,160,775,0,0,603,171,73,49,48
2024,AL,1059,Franklin County,1930,1400,1865,0,184,282,416,502,483,0,102,0,0,0,32,819,0,1106,722,0,367,1510,0,0,1166,356,164,71,71
2024,AL,1061,Geneva County,3060,1829,2973,0,286,489,717,816,664,0,49,0,19,0,110,847,18,1536,1475,11,1065,1941,43,0,2161,379,241,105,82
2024,AL,1063,Greene County,663,0,0,0,68,101,148,153,176,0,0,0,0,0,160,57,0,0,0,0,88,559,0,0,476,96,42,15,20
2024,AL,1065,Hale County,1280,942,1237,0,113,207,319,276,328,0,0,0,0,0,268,241,0,0,0,0,214,1021,0,0,835,192,75,54,73
2024,AL,1067,Henry County,1461,928,1423,23,137,208,322,398,360,13,14,0,13,0,154,507,0,930,517,0,421,1004,0,0,875,243,143,65,82
2024,AL,1069,Houston County,8890,5696,8531,251,823,1587,1993,2143,2046,47,212,0,232,0,1024,2898,89,5561,3117,52,2399,6175,264,0,5263,1493,802,405,429
2024,AL,1071,Jackson County,3639,2579,3506,90,332,573,705,929,997,13,44,29,70,0,40,1737,92,2412,1183,19,697,2795,128,0,2070,644,371,184,185
2024,AL,1073,Jefferson County,51954,35794,49707,1885,5622,10266,12170,11305,10271,435,1235,0,1706,0,7486,11214,355,27964,22755,326,11862,38517,1249,0,31809,8007,4653,1980,2321
2024,AL,1075,Lamar County,783,598,755,0,82,112,153,184,230,0,0,0,0,0,43,438,0,0,0,0,94,668,0,0,421,159,84,54,29
2024,AL,1077,Lauderdale County,7122,4645,6848,170,678,1280,1592,1541,1836,25,108,0,72,0,268,3407,67,4730,2284,26,1779,5127,190,0,3995,1208,730,371,405
2024,AL,1079,Lawrence County,2800,2004,2693,0,222,436,634,641,782,0,26,49,15,0,113,955,80,1617,1157,0,595,2121,0,0,1672,520,264,112,117
2024,AL,1081,Lee County,11416,7163,10868,561,1478,2505,2330,2205,2260,77,305,0,502,0,1572,3839,98,7348,3763,76,3160,7873,307,0,6230,1949,1067,548,726
2024,AL,1083,Limestone County,7078,3254,6832,311,697,1304,1463,1559,1681,63,224,0,379,0,439,2727,84,4499,2355,33,3110,3732,203,0,3713,1270,789,402,413
2024,AL,1085,Lowndes County,1063,814,1051,0,92,172,247,256,266,0,0,0,0,0,213,100,0,0,0,0,201,848,14,0,793,108,78,33,31
2024,AL,1087,Macon County,1550,1230,1515,0,147,264,360,386,365,0,16,0,0,0,407,122,0,782,752,0,251,1275,0,0,1096,219,105,54,39
2024,AL,1089,Madison County,28106,13288,26742,1131,2950,5837,6131,5732,6064,261,1173,79,1225,17,3745,9718,519,18579,8354,231,11883,15101,891,0,14597,5102,2866,1417,1774
2024,AL,1091,Marengo County,1361,1009,1306,0,149,247,285,317,329,0,0,0,13,0,285,284,0,0,0,11,226,1081,43,0,874,205,100,59,62
2024,AL,1093,Marion County,2734,1993,2656,0,243,418,647,678,678,0,19,0,19,0,17,1065,13,1542,1173,12,549,2125,48,0,1862,367,217,96,81
2024,AL,1095,Marshall County,6813,4663,6489,231,644,1126,1451,1574,1761,26,269,20,179,0,92,3542,65,4684,1860,33,1378,5155,247,0,3580,1279,718,380,394
2024,AL,1097,Mobile County,44676,33396,43314,1151,5250,8591,10279,9909,9201,295,706,146,1431,14,9692,9404,410,26984,16986,162,8600,35142,772,0,30331,6580,3288,1485,1331
2024,AL,1099,Monroe County,1366,1014,1299,35,149,217,251,322,377,15,12,17,36,0,389,532,19,1105,249,0,187,1130,0,0,736,246,140,86,78
2024,AL,1101,Montgomery County,13177,9657,12375,419,1545,2751,2860,2844,2613,145,282,11,1131,0,4772,2177,143,9519,3376,122,2009,10668,378,0,7326,2339,1178,642,658
2024,AL,1103,Morgan County,9011,6187,8626,321,820,1612,1979,2069,2171,39,242,33,213,0,555,3735,109,5679,3090,58,1944,6708,301,0,5081,1612,892,423,511
2024,AL,1105,Perry County,834,603,810,0,98,121,189,223,182,0,0,0,0,0,204,85,0,453,381,0,178,635,0,0,597,111,57,25,0
2024,AL,1107,Pickens County,1369,915,1326,0,143,196,326,311,349,0,14,0,0,0,222,299,0,769,586,0,330,997,0,0,875,199,116,57,60
2024,AL,1109,Pike County,1989,1496,1909,47,277,366,402,462,420,15,26,0,62,0,318,579,15,1257,706,19,310,1601,59,0,1220,308,197,72,76
2024,AL,1111,Randolph County,1779,1159,1711,42,148,280,349,448,501,11,13,0,16,0,72,667,11,1051,715,0,470,1253,0,0,1105,251,170,76,91
2024,AL,1113,Russell County,4829,3394,4695,132,532,820,1110,1108,1110,17,82,0,23,0,776,922,37,2707,2040,12,1240,3520,57,0,3255,810,350,142,111
2024,AL,1115,St. Clair County,6096,4124,5889,213,564,1066,1334,1423,1467,29,106,0,122,0,288,2938,55,4086,1904,21,1254,4575,246,0,3182,1115,676,340,390
2024,AL,1117,Shelby County,13103,8028,12341,725,1531,2360,2630,2761,2991,105,678,0,927,0,1004,5881,151,9332,3093,78,3111,9323,591,0,5693,2364,1568,869,1161
2024,AL,1119,Sumter County,1051,874,1034,0,116,218,204,270,220,0,0,0,0,0,255,70,0,0,0,0,151,892,0,0,804,136,53,25,0
2024,AL,1121,Talladega County,5910,4219,5722,104,553,991,1337,1515,1387,23,51,0,148,0,594,1805,34,3404,2455,28,1303,4440,139,0,3723,1020,548,217,171
2024,AL,1123,Tallapoosa County,2732,1943,2611,0,274,461,536,648,745,0,21,0,38,0,319,1082,19,1775,936,20,497,2131,84,0,1553,437,275,156,143
2024,AL,1125,Tuscaloosa County,11966,8430,11358,491,1441,2533,2679,2496,2251,75,227,0,416,0,1917,3708,113,7690,4049,92,2217,9156,501,0,6747,2060,1175,556,655
2024,AL,1127,Walker County,4761,3465,4585,129,410,791,1113,1231,1068,19,45,11,63,0,126,1758,25,2678,2038,24,940,3691,106,0,3105,719,363,149,207
2024,AL,1129,Washington County,1395,998,1358,0,165,231,264,324,376,0,0,44,0,0,181,372,14,0,0,0,296,1056,0,0,889,219,135,52,54
2024,AL,1131,Wilcox County,643,0,0,0,75,108,131,145,173,0,0,0,0,0,231,147,0,0,0,0,88,536,0,0,399,105,53,27,28
2024,AL,1133,Winston County,1623,1187,1570,0,116,216,368,392,484,0,21,0,0,0,0,854,0,1040,562,0,260,1298,0,0,914,319,155,64,88
2024,AK,2013,Aleutians East Borough,40,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0
2024,AK,2016,Aleutians West Census Area,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2024,AK,2020,Anchorage Municipality,11283,1765,9285,1654,865,1958,2066,1925,2637,178,811,341,828,94,247,6385,510,9012,1460,0,4751,1469,5063,0,947,1764,1824,1433,1886
2024,AK,2050,Bethel Census Area,67,0,0,0,0,0,22,12,14,0,0,20,0,0,0,31,0,0,0,0,30,16,21,0,0,18,0,0,0
2024,AK,2060,Bristol Bay Borough,31,0,0,0,0,0,0,0,11,0,0,0,0,0,0,19,0,0,0,0,0,0,15,0,0,0,0,0,0
2024,AK,2063,Chugach Census Area,286,63,256,39,0,59,52,43,72,0,12,12,0,0,0,182,22,242,32,0,98,54,134,0,31,47,49,49,56
2024,AK,2066,Copper River Census Area,92,0,0,0,0,12,22,24,24,0,0,0,0,0,0,74,0,0,0,0,23,28,41,0,20,17,24,0,16
2024,AK,2068,Denali Borough,139,24,124,0,0,24,19,34,46,0,0,0,0,0,0,104,0,0,0,0,49,22,68,0,13,20,26,13,34
2024,AK,2070,Dillingham Census Area,47,0,0,0,0,0,11,0,13,0,0,12,0,0,0,26,0,0,0,0,0,0,21,0,0,0,0,0,0
2024,AK,2090,Fairbanks North Star Borough,3145,588,2832,571,210,552,648,471,666,27,125,104,136,0,43,1740,134,2357,663,0,1101,495,1549,0,322,522,553,420,610
2024,AK,2100,Haines Borough,197,25,180,20,0,21,45,44,60,0,0,11,0,0,0,160,0,0,0,0,92,13,92,0,16,28,42,34,45
2024,AK,2105,Hoonah-Angoon Census Area,99,0,0,0,0,11,21,14,40,0,0,11,0,0,0,77,0,0,0,0,0,0,46,0,11,22,19,0,23
2024,AK,2110,Juneau City and Borough,1244,229,1054,202,0,257,263,197,236,0,64,73,56,0,0,794,69,995,185,0,566,149,529,0,0,186,193,176,272
2024,AK,2122,Kenai Peninsula Borough,3130,552,2768,487,164,462,595,563,838,21,113,123,53,0,0,2184,86,2619,398,0,1261,458,1411,0,252,555,577,463,590
2024,AK,2130,Ketchikan Gateway Borough,596,86,532,85,0,87,112,111,156,0,15,35,32,0,0,365,30,500,81,0,281,54,261,0,40,77,112,97,108
2024,AK,2150,Kodiak Island Borough,695,129,580,90,60,85,106,117,213,24,41,18,288,0,0,268,15,603,51,0,217,112,366,0,0,99,125,102,131
2024,AK,2158,Kusilvak County,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0
2024,AK,2164,Lake and Peninsula Borough,52,0,0,13,0,0,0,12,12,0,0,17,0,0,0,16,0,0,0,0,28,0,0,0,0,12,0,0,0
2024,AK,2170,Matanuska-Susitna Borough,4634,667,4033,876,312,673,888,772,1077,36,170,97,64,0,0,3263,142,3878,586,0,1833,578,2223,0,381,708,912,603,848
2024,AK,2180,Nome Census Area,100,55,71,22,0,0,18,18,24,0,0,50,0,0,0,22,0,0,0,0,66,0,0,0,0,0,24,0,0
